airport,date,size,mu
LAS,2020-02-05,1,0
PDX,2020-02-05,2,4
RNO,2020-02-05,2,9
SEA,2020-02-05,2,3
FAT,2020-02-06,1,7
GEG,2020-02-06,1,0
LAS,2020-02-06,2,0
PDX,2020-02-06,1,5
RNO,2020-02-06,1,5
SEA,2020-02-06,3,4
FAT,2020-02-07,1,9
GEG,2020-02-07,2,4
LAS,2020-02-07,1,9
PDX,2020-02-07,4,5
RNO,2020-02-07,1,8
SEA,2020-02-07,1,7
FAT,2020-02-08,2,3
GEG,2020-02-08,1,4
LAS,2020-02-08,2,7
PDX,2020-02-08,1,7
RNO,2020-02-08,1,5
SEA,2020-02-08,2,6
FAT,2020-02-09,1,4
GEG,2020-02-09,2,6
LAS,2020-02-09,1,6
PDX,2020-02-09,2,9
RNO,2020-02-09,4,7
SEA,2020-02-09,1,6
FAT,2020-02-10,1,8
GEG,2020-02-10,1,6
LAS,2020-02-10,1,10
PDX,2020-02-10,2,6
RNO,2020-02-10,2,3
SEA,2020-02-10,2,9
FAT,2020-02-11,2,4
GEG,2020-02-11,2,7
LAS,2020-02-11,1,3
PDX,2020-02-11,2,6
RNO,2020-02-11,2,4
SEA,2020-02-11,1,7
FAT,2020-02-12,2,4
GEG,2020-02-12,1,7
LAS,2020-02-12,2,5
PDX,2020-02-12,2,7
RNO,2020-02-12,3,8
SEA,2020-02-12,2,9
FAT,2020-02-13,2,9
GEG,2020-02-13,2,4
LAS,2020-02-13,1,0
PDX,2020-02-13,2,9
RNO,2020-02-13,1,3
SEA,2020-02-13,2,5
FAT,2020-02-14,2,3
GEG,2020-02-14,2,8
LAS,2020-02-14,2,8
PDX,2020-02-14,1,8
RNO,2020-02-14,2,3
SEA,2020-02-14,1,3
FAT,2020-02-15,1,7
GEG,2020-02-15,3,0
LAS,2020-02-15,4,7
PDX,2020-02-15,1,4
RNO,2020-02-15,2,3
SEA,2020-02-15,2,6
FAT,2020-02-16,1,5
GEG,2020-02-16,1,3
LAS,2020-02-16,2,10
PDX,2020-02-16,1,3
RNO,2020-02-16,1,5
SEA,2020-02-16,4,9
FAT,2020-02-17,2,3
GEG,2020-02-17,2,4
LAS,2020-02-17,1,5
PDX,2020-02-17,2,8
RNO,2020-02-17,1,8
SEA,2020-02-17,1,9
FAT,2020-02-18,1,6
GEG,2020-02-18,2,9
LAS,2020-02-18,2,10
PDX,2020-02-18,2,3
RNO,2020-02-18,3,4
SEA,2020-02-18,2,5
FAT,2020-02-19,1,10
GEG,2020-02-19,1,1
LAS,2020-02-19,2,6
PDX,2020-02-19,1,4
RNO,2020-02-19,3,9
SEA,2020-02-19,1,3
FAT,2020-02-20,3,6
GEG,2020-02-20,1,3
LAS,2020-02-20,1,9
PDX,2020-02-20,1,5
RNO,2020-02-20,1,5
SEA,2020-02-20,1,5
FAT,2020-02-21,1,6
GEG,2020-02-21,2,6
LAS,2020-02-21,1,7
PDX,2020-02-21,2,5
RNO,2020-02-21,4,6
SEA,2020-02-21,2,7
FAT,2020-02-22,1,0
GEG,2020-02-22,1,7
LAS,2020-02-22,1,4
PDX,2020-02-22,1,3
RNO,2020-02-22,1,5
SEA,2020-02-22,2,7
FAT,2020-02-23,1,10
GEG,2020-02-23,1,6
LAS,2020-02-23,1,5
PDX,2020-02-23,1,5
RNO,2020-02-23,2,7
SEA,2020-02-23,1,5
FAT,2020-02-24,1,6
GEG,2020-02-24,1,8
LAS,2020-02-24,1,4
PDX,2020-02-24,1,0
RNO,2020-02-24,2,3
SEA,2020-02-24,2,3
FAT,2020-02-25,1,3
GEG,2020-02-25,1,4
LAS,2020-02-25,2,3
PDX,2020-02-25,1,4
RNO,2020-02-25,3,8
SEA,2020-02-25,1,6
FAT,2020-02-26,4,6
GEG,2020-02-26,1,5
LAS,2020-02-26,2,3
PDX,2020-02-26,1,9
RNO,2020-02-26,1,1
SEA,2020-02-26,2,9
FAT,2020-02-27,1,10
GEG,2020-02-27,1,7
LAS,2020-02-27,1,6
PDX,2020-02-27,2,6
RNO,2020-02-27,1,5
SEA,2020-02-27,1,7
FAT,2020-02-28,2,4
GEG,2020-02-28,2,3
LAS,2020-02-28,2,0
PDX,2020-02-28,2,5
RNO,2020-02-28,1,7
SEA,2020-02-28,1,0
FAT,2020-02-29,1,6
GEG,2020-02-29,2,6
LAS,2020-02-29,1,7
PDX,2020-02-29,2,5
RNO,2020-02-29,1,5
SEA,2020-02-29,1,5
FAT,2020-03-01,2,0
GEG,2020-03-01,2,5
LAS,2020-03-01,2,6
PDX,2020-03-01,1,6
RNO,2020-03-01,2,7
SEA,2020-03-01,2,3
FAT,2020-03-02,1,4
GEG,2020-03-02,2,5
LAS,2020-03-02,1,10
PDX,2020-03-02,1,5
RNO,2020-03-02,2,4
SEA,2020-03-02,1,8
FAT,2020-03-03,2,8
GEG,2020-03-03,2,7
LAS,2020-03-03,1,9
PDX,2020-03-03,1,5
RNO,2020-03-03,1,6
SEA,2020-03-03,1,6
FAT,2020-03-04,1,3
GEG,2020-03-04,2,3
LAS,2020-03-04,1,0
PDX,2020-03-04,1,4
RNO,2020-03-04,1,5
SEA,2020-03-04,1,3
FAT,2020-03-05,2,3
GEG,2020-03-05,1,5
LAS,2020-03-05,2,4
PDX,2020-03-05,1,8
RNO,2020-03-05,2,6
SEA,2020-03-05,2,7
FAT,2020-03-06,2,5
GEG,2020-03-06,1,5
LAS,2020-03-06,3,6
PDX,2020-03-06,2,7
RNO,2020-03-06,1,7
SEA,2020-03-06,1,6
FAT,2020-03-07,1,6
GEG,2020-03-07,2,0
LAS,2020-03-07,1,3
PDX,2020-03-07,1,3
RNO,2020-03-07,2,3
SEA,2020-03-07,2,9
FAT,2020-03-08,1,6
GEG,2020-03-08,1,10
LAS,2020-03-08,1,9
PDX,2020-03-08,1,5
RNO,2020-03-08,1,5
SEA,2020-03-08,1,4
FAT,2020-03-09,3,5
GEG,2020-03-09,1,8
LAS,2020-03-09,4,6
PDX,2020-03-09,3,7
RNO,2020-03-09,1,3
SEA,2020-03-09,4,7
FAT,2020-03-10,1,5
GEG,2020-03-10,2,5
LAS,2020-03-10,1,4
PDX,2020-03-10,1,4
RNO,2020-03-10,2,3
SEA,2020-03-10,1,6
FAT,2020-03-11,2,6
GEG,2020-03-11,2,6
LAS,2020-03-11,1,3
PDX,2020-03-11,1,6
RNO,2020-03-11,2,7
SEA,2020-03-11,1,10
FAT,2020-03-12,1,7
GEG,2020-03-12,1,3
LAS,2020-03-12,2,9
PDX,2020-03-12,1,8
RNO,2020-03-12,1,5
SEA,2020-03-12,1,8
FAT,2020-03-13,1,4
GEG,2020-03-13,2,3
LAS,2020-03-13,4,6
PDX,2020-03-13,1,6
RNO,2020-03-13,2,3
SEA,2020-03-13,1,8
FAT,2020-03-14,1,7
GEG,2020-03-14,1,10
LAS,2020-03-14,1,3
PDX,2020-03-14,2,9
RNO,2020-03-14,1,4
SEA,2020-03-14,3,3
FAT,2020-03-15,1,7
GEG,2020-03-15,1,3
LAS,2020-03-15,1,3
PDX,2020-03-15,1,8
RNO,2020-03-15,2,3
SEA,2020-03-15,1,8
FAT,2020-03-16,1,10
GEG,2020-03-16,2,0
LAS,2020-03-16,1,6
PDX,2020-03-16,1,8
RNO,2020-03-16,4,4
SEA,2020-03-16,2,0
FAT,2020-03-17,3,5
GEG,2020-03-17,2,6
LAS,2020-03-17,2,5
PDX,2020-03-17,1,4
RNO,2020-03-17,1,4
SEA,2020-03-17,2,8
FAT,2020-03-18,1,3
GEG,2020-03-18,2,5
LAS,2020-03-18,1,7
PDX,2020-03-18,1,6
RNO,2020-03-18,1,5
SEA,2020-03-18,4,4
FAT,2020-03-19,1,6
GEG,2020-03-19,4,6
LAS,2020-03-19,1,7
PDX,2020-03-19,2,3
RNO,2020-03-19,1,8
SEA,2020-03-19,2,3
FAT,2020-03-20,1,8
GEG,2020-03-20,2,0
LAS,2020-03-20,1,4
PDX,2020-03-20,1,8
RNO,2020-03-20,1,4
SEA,2020-03-20,2,3
FAT,2020-03-21,1,10
GEG,2020-03-21,2,5
LAS,2020-03-21,1,9
PDX,2020-03-21,2,3
RNO,2020-03-21,1,5
SEA,2020-03-21,2,3
FAT,2020-03-22,1,3
GEG,2020-03-22,1,8
LAS,2020-03-22,3,5
PDX,2020-03-22,1,3
RNO,2020-03-22,2,1
SEA,2020-03-22,1,8
FAT,2020-03-23,1,9
GEG,2020-03-23,1,5
LAS,2020-03-23,1,3
PDX,2020-03-23,3,9
RNO,2020-03-23,1,4
SEA,2020-03-23,1,9
FAT,2020-03-24,1,0
GEG,2020-03-24,2,8
LAS,2020-03-24,1,6
PDX,2020-03-24,1,10
RNO,2020-03-24,2,7
SEA,2020-03-24,1,5
FAT,2020-03-25,3,4
GEG,2020-03-25,2,7
LAS,2020-03-25,1,9
PDX,2020-03-25,2,9
RNO,2020-03-25,2,4
SEA,2020-03-25,1,6
FAT,2020-03-26,2,4
GEG,2020-03-26,2,6
LAS,2020-03-26,2,6
PDX,2020-03-26,1,5
RNO,2020-03-26,2,7
SEA,2020-03-26,1,10
FAT,2020-03-27,1,6
GEG,2020-03-27,1,0
LAS,2020-03-27,1,5
PDX,2020-03-27,2,5
RNO,2020-03-27,1,4
SEA,2020-03-27,2,9
FAT,2020-03-28,2,4
GEG,2020-03-28,2,5
LAS,2020-03-28,3,10
PDX,2020-03-28,1,6
RNO,2020-03-28,1,6
SEA,2020-03-28,1,7
FAT,2020-03-29,1,5
GEG,2020-03-29,1,3
LAS,2020-03-29,1,7
PDX,2020-03-29,1,10
RNO,2020-03-29,1,7
SEA,2020-03-29,1,8
FAT,2020-03-30,2,6
GEG,2020-03-30,1,5
LAS,2020-03-30,1,5
PDX,2020-03-30,1,6
RNO,2020-03-30,1,8
SEA,2020-03-30,1,3
FAT,2020-03-31,1,4
GEG,2020-03-31,1,8
LAS,2020-03-31,2,8
PDX,2020-03-31,2,8
RNO,2020-03-31,1,7
SEA,2020-03-31,2,10
FAT,2020-04-01,5,5
GEG,2020-04-01,1,3
LAS,2020-04-01,2,3
PDX,2020-04-01,2,6
RNO,2020-04-01,1,4
SEA,2020-04-01,1,7
FAT,2020-04-02,2,4
GEG,2020-04-02,1,5
LAS,2020-04-02,1,3
PDX,2020-04-02,2,6
RNO,2020-04-02,2,0
SEA,2020-04-02,2,4
FAT,2020-04-03,1,4
GEG,2020-04-03,1,10
LAS,2020-04-03,3,4
PDX,2020-04-03,1,3
RNO,2020-04-03,2,6
SEA,2020-04-03,2,8
FAT,2020-04-04,1,6
GEG,2020-04-04,1,3
LAS,2020-04-04,1,6
PDX,2020-04-04,1,6
RNO,2020-04-04,1,6
SEA,2020-04-04,1,7
FAT,2020-04-05,2,4
GEG,2020-04-05,1,6
LAS,2020-04-05,1,4
PDX,2020-04-05,2,0
RNO,2020-04-05,3,7
SEA,2020-04-05,1,6
FAT,2020-04-06,2,0
GEG,2020-04-06,2,3
LAS,2020-04-06,1,3
PDX,2020-04-06,2,5
RNO,2020-04-06,1,8
SEA,2020-04-06,2,5
FAT,2020-04-07,1,6
GEG,2020-04-07,1,7
LAS,2020-04-07,1,9
PDX,2020-04-07,1,4
RNO,2020-04-07,3,5
SEA,2020-04-07,2,5
FAT,2020-04-08,1,9
GEG,2020-04-08,4,6
LAS,2020-04-08,2,4
PDX,2020-04-08,2,3
RNO,2020-04-08,2,7
SEA,2020-04-08,2,3
FAT,2020-04-09,2,3
GEG,2020-04-09,1,4
LAS,2020-04-09,2,8
PDX,2020-04-09,1,9
RNO,2020-04-09,2,5
SEA,2020-04-09,1,3
FAT,2020-04-10,1,9
GEG,2020-04-10,3,7
LAS,2020-04-10,2,5
PDX,2020-04-10,1,4
RNO,2020-04-10,2,5
SEA,2020-04-10,2,3
FAT,2020-04-11,1,5
GEG,2020-04-11,5,4
LAS,2020-04-11,1,7
PDX,2020-04-11,1,7
RNO,2020-04-11,2,5
SEA,2020-04-11,2,4
FAT,2020-04-12,1,4
GEG,2020-04-12,1,3
LAS,2020-04-12,1,3
PDX,2020-04-12,1,4
RNO,2020-04-12,1,9
SEA,2020-04-12,3,7
FAT,2020-04-13,1,3
GEG,2020-04-13,1,9
LAS,2020-04-13,1,7
PDX,2020-04-13,1,0
RNO,2020-04-13,2,5
SEA,2020-04-13,2,8
FAT,2020-04-14,2,5
GEG,2020-04-14,1,6
LAS,2020-04-14,1,3
PDX,2020-04-14,1,6
RNO,2020-04-14,1,9
SEA,2020-04-14,1,5
FAT,2020-04-15,1,6
GEG,2020-04-15,2,6
LAS,2020-04-15,1,3
PDX,2020-04-15,1,10
RNO,2020-04-15,1,7
SEA,2020-04-15,1,6
FAT,2020-04-16,2,9
GEG,2020-04-16,1,3
LAS,2020-04-16,2,6
PDX,2020-04-16,4,7
RNO,2020-04-16,2,9
SEA,2020-04-16,2,5
FAT,2020-04-17,1,6
GEG,2020-04-17,2,3
LAS,2020-04-17,5,7
PDX,2020-04-17,1,5
RNO,2020-04-17,2,4
SEA,2020-04-17,2,4
FAT,2020-04-18,1,5
GEG,2020-04-18,1,4
LAS,2020-04-18,1,4
PDX,2020-04-18,3,6
RNO,2020-04-18,2,4
SEA,2020-04-18,1,5
FAT,2020-04-19,1,7
GEG,2020-04-19,2,9
LAS,2020-04-19,1,5
PDX,2020-04-19,1,7
RNO,2020-04-19,2,4
SEA,2020-04-19,1,4
FAT,2020-04-20,1,4
GEG,2020-04-20,2,4
LAS,2020-04-20,1,9
PDX,2020-04-20,1,5
RNO,2020-04-20,4,6
SEA,2020-04-20,1,5
FAT,2020-04-21,1,9
GEG,2020-04-21,1,0
LAS,2020-04-21,1,7
PDX,2020-04-21,3,3
RNO,2020-04-21,1,7
SEA,2020-04-21,2,3
FAT,2020-04-22,4,0
GEG,2020-04-22,2,6
LAS,2020-04-22,1,10
PDX,2020-04-22,2,5
RNO,2020-04-22,1,5
SEA,2020-04-22,1,0
FAT,2020-04-23,1,5
GEG,2020-04-23,1,6
LAS,2020-04-23,2,4
PDX,2020-04-23,1,5
RNO,2020-04-23,1,9
SEA,2020-04-23,1,5
FAT,2020-04-24,1,9
GEG,2020-04-24,1,7
LAS,2020-04-24,2,7
PDX,2020-04-24,1,7
RNO,2020-04-24,2,8
SEA,2020-04-24,2,6
FAT,2020-04-25,1,6
GEG,2020-04-25,1,9
LAS,2020-04-25,1,5
PDX,2020-04-25,2,3
RNO,2020-04-25,1,7
SEA,2020-04-25,1,4
FAT,2020-04-26,3,10
GEG,2020-04-26,1,0
LAS,2020-04-26,1,9
PDX,2020-04-26,1,4
RNO,2020-04-26,2,3
SEA,2020-04-26,2,7
FAT,2020-04-27,1,0
GEG,2020-04-27,1,7
LAS,2020-04-27,1,7
PDX,2020-04-27,1,0
RNO,2020-04-27,2,6
SEA,2020-04-27,1,5
FAT,2020-04-28,2,8
GEG,2020-04-28,1,4
LAS,2020-04-28,4,5
PDX,2020-04-28,1,6
RNO,2020-04-28,2,6
SEA,2020-04-28,1,10
FAT,2020-04-29,1,3
GEG,2020-04-29,2,7
LAS,2020-04-29,1,5
PDX,2020-04-29,1,0
RNO,2020-04-29,1,4
SEA,2020-04-29,1,9
FAT,2020-04-30,1,3
GEG,2020-04-30,1,7
LAS,2020-04-30,1,5
PDX,2020-04-30,1,5
RNO,2020-04-30,1,4
SEA,2020-04-30,1,4
FAT,2020-05-01,2,8
GEG,2020-05-01,2,6
LAS,2020-05-01,1,1
PDX,2020-05-01,2,5
RNO,2020-05-01,3,3
SEA,2020-05-01,2,10
FAT,2020-05-02,1,7
GEG,2020-05-02,1,6
LAS,2020-05-02,1,7
PDX,2020-05-02,2,5
RNO,2020-05-02,1,4
SEA,2020-05-02,2,3
FAT,2020-05-03,2,5
GEG,2020-05-03,2,4
LAS,2020-05-03,2,6
PDX,2020-05-03,1,5
RNO,2020-05-03,1,7
SEA,2020-05-03,1,6
FAT,2020-05-04,2,6
GEG,2020-05-04,2,7
LAS,2020-05-04,2,8
PDX,2020-05-04,1,8
RNO,2020-05-04,1,5
SEA,2020-05-04,1,9
FAT,2020-05-05,2,8
GEG,2020-05-05,2,3
LAS,2020-05-05,2,6
PDX,2020-05-05,1,9
RNO,2020-05-05,2,6
SEA,2020-05-05,2,7
FAT,2020-05-06,2,7
GEG,2020-05-06,3,3
LAS,2020-05-06,4,6
PDX,2020-05-06,1,8
RNO,2020-05-06,1,1
SEA,2020-05-06,1,5
FAT,2020-05-07,3,7
GEG,2020-05-07,1,6
LAS,2020-05-07,2,7
PDX,2020-05-07,2,8
RNO,2020-05-07,1,7
SEA,2020-05-07,1,7
FAT,2020-05-08,3,6
GEG,2020-05-08,2,7
LAS,2020-05-08,1,9
PDX,2020-05-08,1,3
RNO,2020-05-08,1,4
SEA,2020-05-08,2,7
FAT,2020-05-09,1,5
GEG,2020-05-09,1,5
LAS,2020-05-09,2,3
PDX,2020-05-09,2,3
RNO,2020-05-09,2,9
SEA,2020-05-09,1,5
FAT,2020-05-10,4,4
GEG,2020-05-10,2,3
LAS,2020-05-10,1,4
PDX,2020-05-10,1,6
RNO,2020-05-10,2,5
SEA,2020-05-10,3,4
FAT,2020-05-11,2,7
GEG,2020-05-11,1,4
LAS,2020-05-11,1,3
PDX,2020-05-11,2,8
RNO,2020-05-11,1,7
SEA,2020-05-11,1,4
FAT,2020-05-12,1,5
GEG,2020-05-12,2,8
LAS,2020-05-12,1,0
PDX,2020-05-12,1,9
RNO,2020-05-12,2,5
SEA,2020-05-12,2,3
FAT,2020-05-13,2,10
GEG,2020-05-13,1,6
LAS,2020-05-13,1,7
PDX,2020-05-13,1,9
RNO,2020-05-13,1,3
SEA,2020-05-13,1,3
FAT,2020-05-14,1,7
GEG,2020-05-14,1,8
LAS,2020-05-14,1,6
PDX,2020-05-14,2,4
RNO,2020-05-14,1,4
SEA,2020-05-14,3,10
FAT,2020-05-15,1,3
GEG,2020-05-15,1,6
LAS,2020-05-15,1,10
PDX,2020-05-15,2,3
RNO,2020-05-15,2,8
SEA,2020-05-15,1,7
FAT,2020-05-16,1,9
GEG,2020-05-16,2,8
LAS,2020-05-16,2,6
PDX,2020-05-16,2,5
RNO,2020-05-16,2,4
SEA,2020-05-16,1,5
FAT,2020-05-17,1,6
GEG,2020-05-17,2,8
LAS,2020-05-17,1,10
PDX,2020-05-17,2,6
RNO,2020-05-17,2,3
SEA,2020-05-17,3,6
FAT,2020-05-18,1,7
GEG,2020-05-18,1,6
LAS,2020-05-18,1,3
PDX,2020-05-18,2,4
RNO,2020-05-18,1,8
SEA,2020-05-18,1,6
FAT,2020-05-19,2,6
GEG,2020-05-19,2,0
LAS,2020-05-19,1,6
PDX,2020-05-19,1,10
RNO,2020-05-19,2,7
SEA,2020-05-19,2,7
FAT,2020-05-20,2,0
GEG,2020-05-20,1,4
LAS,2020-05-20,2,7
PDX,2020-05-20,1,6
RNO,2020-05-20,1,8
SEA,2020-05-20,1,5
FAT,2020-05-21,1,4
GEG,2020-05-21,1,4
LAS,2020-05-21,2,3
PDX,2020-05-21,5,7
RNO,2020-05-21,1,0
SEA,2020-05-21,1,0
FAT,2020-05-22,2,10
GEG,2020-05-22,1,5
LAS,2020-05-22,1,4
PDX,2020-05-22,1,3
RNO,2020-05-22,2,7
SEA,2020-05-22,2,4
FAT,2020-05-23,2,4
GEG,2020-05-23,1,3
LAS,2020-05-23,1,6
PDX,2020-05-23,2,0
RNO,2020-05-23,1,4
SEA,2020-05-23,1,10
FAT,2020-05-24,2,5
GEG,2020-05-24,1,10
LAS,2020-05-24,1,5
PDX,2020-05-24,1,6
RNO,2020-05-24,1,7
SEA,2020-05-24,1,9
FAT,2020-05-25,1,9
GEG,2020-05-25,2,7
LAS,2020-05-25,2,0
PDX,2020-05-25,2,6
RNO,2020-05-25,2,4
SEA,2020-05-25,2,4
FAT,2020-05-26,2,7
GEG,2020-05-26,1,3
LAS,2020-05-26,1,7
PDX,2020-05-26,4,6
RNO,2020-05-26,1,4
SEA,2020-05-26,2,9
FAT,2020-05-27,1,3
GEG,2020-05-27,1,10
LAS,2020-05-27,1,4
PDX,2020-05-27,1,6
RNO,2020-05-27,1,5
SEA,2020-05-27,2,4
FAT,2020-05-28,1,3
GEG,2020-05-28,1,8
LAS,2020-05-28,1,7
PDX,2020-05-28,3,7
RNO,2020-05-28,3,7
SEA,2020-05-28,2,5
FAT,2020-05-29,1,5
GEG,2020-05-29,1,4
LAS,2020-05-29,2,5
PDX,2020-05-29,2,9
RNO,2020-05-29,1,4
SEA,2020-05-29,2,5
FAT,2020-05-30,2,10
GEG,2020-05-30,1,0
LAS,2020-05-30,1,4
PDX,2020-05-30,1,7
RNO,2020-05-30,1,5
SEA,2020-05-30,1,4
FAT,2020-05-31,2,10
GEG,2020-05-31,3,5
LAS,2020-05-31,2,7
PDX,2020-05-31,2,5
RNO,2020-05-31,2,5
SEA,2020-05-31,1,5
FAT,2020-06-01,3,7
GEG,2020-06-01,2,6
LAS,2020-06-01,3,5
PDX,2020-06-01,3,3
RNO,2020-06-01,2,6
SEA,2020-06-01,3,5
FAT,2020-06-02,2,7
GEG,2020-06-02,1,3
LAS,2020-06-02,2,9
PDX,2020-06-02,2,3
RNO,2020-06-02,2,3
SEA,2020-06-02,1,3
FAT,2020-06-03,4,6
GEG,2020-06-03,2,9
LAS,2020-06-03,2,4
PDX,2020-06-03,1,8
RNO,2020-06-03,1,0
SEA,2020-06-03,1,8
FAT,2020-06-04,2,9
GEG,2020-06-04,1,5
